client_name,client_title,client_company,rating,review_text,platform,date,country_code,country_name,city,is_featured
rudisalamonsen,Repeat Client,image-docs,5,"Its allways nice to have Neaz on the team, het get things done fast !",Fiverr,January 2026,NO,Norway,,true
rudisalamonsen,Repeat Client,image-docs,5,Good like always,Fiverr,November 2025,NO,Norway,,false
rudisalamonsen,Repeat Client,image-docs,5,Amazing like always,Fiverr,November 2025,NO,Norway,,false
rudisalamonsen,Repeat Client,image-docs,5,"It's always good to have Neaz with me on my projects, everything is easier then! Thanks for the service aigan!",Fiverr,October 2025,NO,Norway,,true
rudisalamonsen,Repeat Client,image-docs,5,Awesome like always,Fiverr,September 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,Amazing like always,Fiverr,September 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,"Neaz always delivers his work as promised, demonstrating reliability and commitment.",Fiverr,August 2025,NO,Norway,,true
rudisalamonsen,,image-docs,5,"It's always nice to have Neaz on the team! I appreciate your help again :)",Fiverr,August 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,Awesome like always !!!,Fiverr,August 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,"Neaz Md Morshed truly shines as a Virtual Assistant! His professionalism and strategic business planning blew me away.",Fiverr,August 2025,NO,Norway,,true
rudisalamonsen,,image-docs,5,"Neaz Md Morshed truly impressed with his exceptional professionalism and QUICK responsiveness.",Fiverr,August 2025,NO,Norway,,true
rudisalamonsen,,image-docs,5,"Neaz Md Morshed is a top-notch Virtual Assistant who combines professionalism with a DEEP understanding of tasks.",Fiverr,July 2025,NO,Norway,,true
rudisalamonsen,,image-docs,5,Neaz Md Morshed was an absolute pleasure to work with as a Virtual Assistant!,Fiverr,June 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,Awsome work like allways,Fiverr,May 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,always 10/10,Fiverr,February 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,Neaz Md Morshed was an exceptional Virtual Assistant who truly exceeded expectations.,Fiverr,February 2025,NO,Norway,,true
rudisalamonsen,,image-docs,5,Awesome service like always!!!!!!!!!!!!,Fiverr,February 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,Awsome service,Fiverr,February 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,Thanks Neaz for the help,Fiverr,February 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,"Neaz has worked with me 4 years now, he has a great service!",Fiverr,February 2025,NO,Norway,,true
artuitive,,artuitive,5,"Naez is easy to work with, proactive in his client communication and was patient with me.",Fiverr,February 2025,US,United States,,true
rudisalamonsen,,image-docs,5,Awsome service!!,Fiverr,February 2025,NO,Norway,,false
kriber66,,kriber66,5,Neaz did an excellent job taking care of my order. He is very efficient.,Fiverr,February 2025,US,United States,,false
nasvou,,nasvou,5,Neaz was a fantastic virtual assistant who exceeded my expectations.,Fiverr,February 2025,AU,Australia,,true
rudisalamonsen,,image-docs,5,Great service!,Fiverr,February 2025,NO,Norway,,false
rudisalamonsen,,image-docs,5,Awsome service!,Fiverr,February 2025,NO,Norway,,false
josephjoel,,josephjoel,5,He did a Good job!,Fiverr,February 2023,US,United States,,false
mkuhne30,,mkuhne30,5,"I highly recommend neaz222. He goes above and beyond my expectations. Created a book cover for me!",Fiverr,February 2022,US,United States,,true
aidencowie,,aidencowie,5,It was super easy to work with this seller - cannot wait to work with them again!,Fiverr,February 2022,US,United States,,false
kenroan,,kenroan,5,perfect as always!,Fiverr,February 2022,US,United States,,false
kenroan,,kenroan,5,I been working with this seller for over a year and every time he has exceeded my expectations.,Fiverr,February 2022,US,United States,,true
kenroan,,kenroan,5,He saves me time does thorough research and any discrepancy I have he is more than willing to fix.,Fiverr,February 2022,US,United States,,false
kenroan,,kenroan,5,This is my 5th or 6th order with this seller and I am very satisfy with his service.,Fiverr,February 2021,US,United States,,false
kenroan,,kenroan,5,The communication was perfect and he finished on schedule.,Fiverr,February 2021,US,United States,,false
kenroan,,kenroan,5,Great as always! Will definitely use again!,Fiverr,February 2021,US,United States,,false
josephjoel,,josephjoel,5,Great job. Wonderful person. Really kept at it. Communications were efficient.,Fiverr,February 2021,US,United States,,true
kenroan,,kenroan,5,Written perfectly!,Fiverr,February 2021,US,United States,,false
judavis01,,judavis01,4,The seller was very prompt and delivered before the deadline. Research was excellent.,Fiverr,February 2021,US,United States,,false
dstreet3003,,dstreet3003,5,Great seller will work with again,Fiverr,February 2021,US,United States,,false
kenroan,,kenroan,5,"Fast turn around, quick response, and extremely flexible!",Fiverr,February 2021,US,United States,,false
mkuhne30,,mkuhne30,5,Really went above and beyond my expectations! Awesome experience.,Fiverr,February 2021,US,United States,,true
kenroan,,kenroan,4,Any edits that I asked for was done complaint free and quickly.,Fiverr,February 2021,US,United States,,false
kei27isblessed,,kei27isblessed,5,This is my second project and his skills are amazing.,Fiverr,February 2021,US,United States,,false
mkuhne30,,mkuhne30,5,This seller delivered what was asked. Definitely went above and beyond.,Fiverr,February 2021,US,United States,,false
vhjaber,,vhjaber,5,i like to work with good people. Thank you so much!,Fiverr,February 2021,DE,Germany,,false
memyselfmike,,memyselfmike,5,Good communication and I can see a lot of work went into the task,Fiverr,February 2021,GB,United Kingdom,,false
wenzos,,wenzos,5,Good job,Fiverr,February 2021,IT,Italy,,false
vhjaber,,vhjaber,5,Very professional work! Thank you,Fiverr,February 2021,DE,Germany,,false
kei27isblessed,,kei27isblessed,5,"Thanks, fast delivery. Well done.",Fiverr,February 2021,US,United States,,false
alexwinkler939,,alexwinkler939,5,Looking forward to working with him again!,Fiverr,February 2021,US,United States,,false
